Tarif_Adi,Lemmatized_Metin
Fırında Tavuk Şiş,tavuk göğsü yoğurt zeytinyağı domates salçası çeri domates kırmızı biber yeşil biber kekik kimyon kırmızı pul biber tuz tavuk göğsünü kuşbaşından biraz büyük olacak şekilde doğrayın orta boy derin bir kap içine yemek kaşığı yoğurt yarım çay bardağı zeytinyağı yemek kaşığı domates salçası damak tadınıza göre tuz kekik kırmızı pul biber ve kimyon ekleyin i steğe göre sarımsak da rendeleyebilirsiniz sosu tel çırpıcı yardımı ile iyice karıştırın hazırladığınız sosun üzerine doğradığınız tavuk etlerini koyun tavuk etlerini sosu ile beraber güzelce harmanlayın hazırladığınız soslu tavuk etlerinin üzerini kapatıp buzdolabında en az saat kadar dinlenmeye bırakın daha sonra dinlenen tavuk etlerini buzdolabından çıkartın kullanacağınız kadar kırmızı biber ve yeşil biberin çekirdek kısmını temizleyip tavuk etlerinin büyüklüğünde kesin diğer tarafta tavuk etlerin çöp şişlerden kolay bir şekilde ayrılması için çöp şişleri güzelce ıslatın ardından şişlere sırayla tavuk kırmızı ve yeşil biber olacak şekilde dizin hazırladığınız tavuk çöp şişleri yağlı kağıt serili fırın tepsisi içine dizin çöp şişlerin üzerine yağlı kağıt serip kenar kısımlarını güzelce kapatın bu şekilde tavuklar kendi buharında lezzetli bir şekilde pişecektir önceden ısıtılmış derece fırına verin yaklaşık dakika kadar pişirin fırında tavuk şişler piştikten sonra üzerindeki yağlı kağıdı alıp boş olan kısımlara çeri domatesleri yerleştirin tavuk çöp şişleri tekrardan fırına verip üzerleri kızarana kadar pişirin fırında tavuk şişler piştikten sonra sıcak olarak servis edebilirsiniz
İç Pilavlı Tavuk Dolması,tavuk pilavlık pirinç soğan tereyağı dolmalık çam fıstığı kuş üzümü limon tuz karabiber yoğurt domates salçası orta boy bir tencere içine yemek kaşığı tereyağı koyup eritin üzerine adet orta boy ince ince doğranmış soğanı ekleyip dakika kavurun ardından yemek kaşığı dolmalık çam fıstıklarını koyup hafif pembeleşene kadar kavurun daha sonra pirinci ve yemek kaşığı kuş üzümünü ekleyin pirinçli harcı dakika kadar daha kavurun hazırladığınız iç pilavın üzerine tuz karabiber ve su bardağı kadar su ekleyin kere karıştırıp tencerenin kapağını kapatın suyunu çekene kadar orta kıvamda pişirin pilav piştikten sonra ocaktan alıp ılımaya bırakın daha sonra hazırladığınız iç pilavı tavuğun iç kısmına doldurun tavuğun içi fazla bastırmadan pilavla doldurun doldurduktan sonra tavuğun açık olan kısmını bir iğne iplik yardımı ile dikin i steğe bağlı olarak iple dikmek yerine tavuğun ayaklarını derisinden geçirip sıkıştırabilirsiniz hazırladığınız iç pilavlı tavuğu derin bir tencere içine koyun üzerine hafifçe çıkacak kadar su ekleyin tavuk pişerken kokusunu alması için suyuna bir dilim limon parçası koyun tuz da ekleyip tavuk domasını iyice pişirin belli bir süre sonra tavuğu yavaşça alt üst edip diğer tarafınında pişmesini sağlayın pişen iç pilavlı tavuk dolmasını yavaşça alıp bir fırın kabı içine koyun önceden ısıtılmış derecelik fırına verin tavuk dolmasının üzeri kızarana kadar pişirin i ç pilavlı tavuk dolması piştikten sonra fırından çıkartıp ip kısmını alın tavuğu bıçak yardımı ile dilimlere ayırıp iç pilav ile servis edebilirsiniz
Kabak Kebabı,kabak domates sivri biber kıyma soğan sarımsak maydanoz galeta unu tuz karabiber kırmızı pul biber domates salçası ılık su zeytinyağı kıyma rendelenmiş soğan rendelenmiş sarımsak maydanoz galeta unu tuz karabiber ve kırmızı pul biber karıştırılır kabaklar soyulur ve halkalar halinde kesilir köfte harcından parçalar alınır ve yuvarlak şekli verilir kabak ve köfte dizmesi hazırlanır domates ve sivri biberler kesilir ve dizmeye eklenir zeytinyağı ve domates salçası sosu hazırlanır sos dizmenin üzerine dökülür ve fırına verilir kabak kebabı dakika pişirilir
Katıklı Dolma,kabak ince köftelik bulgur kıyma kuru soğan biber salçası kuru reyhan zeytinyağı sıcak su tuz kimyon karabiber kırmızı pul biber yoğurt sarımsak tere yağı domates salçası kabakları yıkayın tıraşlayın ve parmak kalınlığında dilimleyin dilimlediğiniz kabakların iç kısımlarını oyacak ile oyup çıkartın köfte harcını hazırlayın kıyma soğan bulgur biber salçası kuru reyhan tuz karabiber kimyon ve kırmızı pul biberi yoğurun kabakların içlerini hazırladığınız bulgurlu kıyma ile doldurun dolmaları tencereye diklemine dizin üzerlerine tuz serpiştirin ve zeytinyağı gezdirin tencerenin tabanına sıcak su dökün ve dolmaların dağılmaması için üzerine küçük bir tabak kapatın dolmaları kaynamaya bırakın dakika kadar pişirin diğer tarafta yoğurt tuz ve sarımsak ile sosu hazırlayın salçalı sosu için tereyağı zeytinyağı domates salçası ve kırmızı pul biberi kavurun dolmayı servis tabağına dizin üzerine yoğurt ve salçalı sosu gezdirin
Kavurma,yağlı kuşbaşı dana eti soğan sarımsak taze biberiye taze kekik defne yaprağı kimyon kırmızı toz biber tuz geniş bir tencereyi ocak üzerine alıp iyice ısıtın i yice ısınan tencerenin içine kilo yağlı kuşbaşı dana etini koyun etlerin rengi değişip suyunu salana kadar ara ara karıştırarak kavurun diğer tarafta adet orta boy soğanın kabuğunu soyun her birini eşit parçaya bölün baş sarımsağı da ayıklayıp bütün olacak şekilde bırakın etler suyunu saldıktan sonra üzerine doğranmış soğan ve sarımsakları yerleştirin damak tadınıza göre kimyon kırmızı toz biber ve tuz ekleyip güzelce karıştırın son olarak etlerin üzerine dal taze biberiye dal taze kekik ve adet defne yaprağı koyun ardından tencerenin kapağını kapatın etleri kısık ateş üzerinde ara ara kontrol ederek saat kadar pişirin
Köfteli Şehzade Kebabı,patlıcan soğan sarımsak sivri biber biber salçası domates sıvı yağ kıyma yumurta galeta unu kimyon karabiber kekik tuz köfte harcını hazırlayın köfte harcından parçalar alın ve yuvarlayın patlıcanları soyun ve küp küp doğrayın patlıcanları kızartın köfteleri kızartın soğan ve sarımsakları kavurun biberleri kavurun domatesleri ekleyin ve pişirin sosu hazırlayın köfteleri sosla karıştırın patlıcanları ve köfteleri fırın kabına dizin yemeği fırında pişirin
Lokanta Usulü Taze Fasulye,taze fasulye kuşbaşı et soğan sarımsak domates domates salçası zeytinyağı sıcak su tuz taze fasulyenin uç kısımlarını kesip varsa kılçıklarını ayıklayın fasulyeleri bolca su içinde yıkayıp suyunu süzün fasulyeleri büyüklüklerine göre parçaya kesin soğan domates ve sarımsağın kabuğunu soyup ince ince doğrayın küçük bir tencere içine zeytinyağı döküp iyice ısıtın isınan yağın üzerine kuşbaşı doğranmış et koyun etin rengi değişene kadar sürekli karıştırarak kavurun etin üzerini geçecek kadar sıcak su dökün etler hafifçe suyunu çekip yumuşayana kadar pişirin geniş bir tencere içine zeytinyağı döküp ısıtın yağın üzerine doğranmış soğanı ekleyip dakika sürekli karıştırarak kavurun kavrulan soğanın üzerine domates salçası ve doğranmış sarımsakları ekleyin salçanın kokusu çıkana kadar sürekli karıştırarak kavurun ardından tencereye pişirdiğiniz etleri koyup dakika kadar daha kavurmaya devam edin doğranmış domatesi ekleyip güzelce karıştırın taze fasulyeleri ekleyin fasulyeleri diğer malzemeler ile birlikte dakika daha sürekli karıştırarak kavurun son olarak tencereye taze fasulyelerin üzerini hafifçe geçecek kadar sıcak su ve damak tadınıza göre tuz koyup karıştırın kaynamaya bırakın yemeğiniz kaynadıktan sonra kısık ateş üzerinde fasulyeler yumuşayana kadar pişirin
Mercan Kebabı,tavuk kıyması çekilmiş kuyruk yağı galeta unu kapya biber kuru soğan tuz karabiber kekik kimyon kırmızı toz biber sıvı yağ adet orta boy kapya biber ve adet kuru soğanı orta büyüklükte kesip rondo içine koyun soğan ve biberi rondodan iyice geçirin daha sonra derin bir kap içine yarım kilo tavuk kıymasını koyun üzerine rondodan çektiğiniz biber ve soğanı ekleyin gr çekilmiş kuyruk yağı yemek kaşığı galeta unu damak tadınıza göre tuz kimyon karabiber kekik ve kırmızı toz biber ekleyin eliniz ile iyice yoğurun tavuk köfte kıvamı yumuşak olduysa biraz daha galeta unu ilave edilebilirsiniz kuyruk yağı olmadan da mercan kebabını yapabilirsiniz diğer tarafta geniş bir tencere içine sıvı yağ koyup ısıtın tavuklu karışımdan ceviz büyüklüğünde parçalar alıp elinizde oval şekli verin isınan yağ içine köfteleri dizin mercan kebabını arkalı önlü pişirin mercan kebabı piştikten sonra servis tabağına alın
Patates Püresinde Tavuk Sote,kemiksiz tavuk pirzola orta boy soğan kırmızı kapya biber yeşil biber domates salçası zeytinyağı su köri kekik kimyon karabiber kırmızı toz biber tuz patates tereyağı rendelenmiş kaşar peynir rendelenmiş kaşar peynir üzeri için patatesleri soyup yıkayın patatesleri küpler halinde doğrayıp derin bir tencere içine koyun üzerlerini geçecek kadar sıcak su döküp kaynamaya bırakın kaynadıktan sonra orta kısık ateş üzerinde patatesler yumuşayana kadar haşlayın haşlanan patateslerin suyunu süzüp derin bir kap içine koyun patatesleri henüz sıcak iken püre ezicisi yardımı ile iyice ezin üzerine tereyağı tuz karabiber ve rendelenmiş kaşar peynir koyun tekrardan patatesli harcı pürüzsüz bir kıvam alana kadar iyice ezip kenarda ılımaya bırakın kemiksiz tavuk pirzolayı küçük kuşbaşı şeklinde doğrayın soğanı yeşil biberi ve kırmızı kapya biberi doğrayın orta boy geniş bir tencere içine zeytinyağı döküp ısıtın isınan yağın üzerine doğradığınız tavuk etlerini ekleyin tavuk etleri suyunu salıp hafifçe çekene kadar sürekli karıştırarak kavurun ardından kavrulan tavuk etlerinin üzerine doğranmış soğan ve biberleri koyun tavuk etlerini soğan ve biberler ile birlikte dakika ara ara karıştırarak kavurun daha sonra tencereye domates salçası köri kırmızı toz biber kekik karabiber kimyon ve tuz koyun tavuk etlerini salça ve baharatlar ile birlikte kısa bir süre daha kavurmaya devam edin son olarak hazırladığınız tavuk sotenin üzerine sıcak su döküp karıştırın tencerenin kapağını kapatıp bu şekilde dakika daha pişirin ve ocak üzerinden alın hazırladığınız patates püresini eşit parçaya ayırın bu parçaları elinizde düzgün bir şekil verene kadar yuvarlayın yuvarladığınız patatesleri yağlı kağıt serili fırın tepsisi içine hafif aralıklı olacak şekilde yerleştirin patates toplarının üzerlerine bardağın tabanı ile bastırarak çukurlaştırın patates çukurlarına hazırladığınız tavuk soteyi eşit bir şekilde paylaştırın üzerlerine rendelenmiş kaşar peynir serpiştirin önceden ısıtılmış üst ızgara ayarında derece fırına verin üzerleri hafifçe kızarana kadar pişirin
Sebzeli Fırın Tava,kıyma patlıcan patates sivri biber kırmızı kapya biber soğan domates domates salçası zeytinyağı ılık su tuz karabiber patlıcan patates ve soğanın kabuğunu soyun patlıcan ve patatesi küpler halinde kesin soğanı ince ince doğrayın sivri biber ve kırmızı kapya biberin çekirdek kısmını temizleyip küpler halinde kesin domatesi küçük küpler halinde kesin sebzeleri küçük yuvarlak borcam fırın kabının içine koyun sebzelerin üzerine kıyma domates salçası zeytinyağı tuz ve karabiber ekleyin tüm malzemeyi harmanlayın sebzelerin üzerine hafifçe bastırıp yayın i lık suyu gezdirerek dökün önceden ısıtılmış derece fırına verin dakika kadar pişirin
Seftali Kebabı,kuzu gömleği kıyma soğan maydanoz tuz karabiber kimyon bir kaba gr kıyma koyun tercihen az yağlı dana ve kuzu karışık kıyma kullanın üzerine ince ince doğranmış adet soğan ve tutam maydanoz ekleyin ardından tuz ve baharatları da ilave edip köfte harcını iyice yoğurun yoğurduğunuz köfte harcının üzerini kapatıp buzdolabında dakika kadar dinlendirin diğer taraftan adet kuzu gömleğini en az dk ılık suda kokusu çıkana kadar yıkayın ilık sudan geçirdiğiniz kuzu gömleği banna yumuşayacak ve daha kolay açılacaktır hazırladığınız köfte harcını buzdolabından çıkartın biraz irice parçalar alıp elinizde oval şeklini verin kuzu gömleğini oval şekil verdiğiniz köfteleri tamamen saracak genişlikte şeritler halinde kesin fazla geniş kesmeyin köfteleri sadece bir kez sarması yeterlidir köfteleri kuzu gömleğin en ucuna koyup elinizle dikkatli bir şekilde yuvarlayıp köftenin yüzeyini kuzu gömleği ile güzelce sarın kuzu gömleğinin fazla gelen kısımlarını kesin ve ayırın hazırladığınız şeftali kebabını fırın kabı içine güzelce dizin önceden ısıtılmış dereceli fırına verin üzeri nar gibi kızarana kadar yaklaşık dk kadar pişirin
Soslu Tavuk Kızartması,tavuk göğsü un nişasta kabartma tozu süt zeytinyağı kırmızı toz biber köri tuz karabiber tavuk göğsünü ince dilimlere ayırın tavuk dilimlerine tuz ve karabiber serpiştirin sos malzemelerini bir kaseye koyun ve karıştırın tavuk dilimlerini una bulayın tavuk dilimlerini sosa bulayın tavuk dilimlerini kızgın yağa koyun ve pişirin tavuk dilimlerini servis tabağına alın ve sıcak olarak servis edin
Sulu Et Kavurma,kuşbaşı dana eti soğan sarımsak zeytinyağı tere yağı sıcak su tuz tencereyi ocak üzerine alın ve yüksek ateş üzerinde ısıtın tencereye kuşbaşı dana etini koyun ve suyunu salana kadar kavurun soğanı ve sarımsağı doğrayıp etlerin üzerine ekleyin zeytinyağı dökün ve eti diğer malzemeler ile birlikte karıştırın sıcak su dökün ve kaynamaya bırakın kaynadıktan sonra ocağın altını kısın ve dakika pişirin tuz ekleyin ve karıştırın tereyağını küçük küçük parçalayarak koyun ve dakika daha pişirin dakika dinlenmeye bırakın ve servis edin
